,text,bbox,page,doc_id
10,"У 10  класі ви продовжите вивчати курс історії України. Запору- кою успішної роботи на уроках і  вдома є  вміння працювати з  підруч- ником. Перш ніж розпочати роботу, необхідно за змістом підручника  ознайомитися з  його структурою. Весь матеріал об’єднано в  шість роз- ділів, кожен із яких містить декілька параграфів, що, у  свою чергу,  складаються з  окремих пунктів. У  тексті ви зустрінете виділені слова  й  дати. Звертайте на них особливу увагу і  намагайтеся запам’ятати. Іс- торія України, як ви вже знаєте, має власну термінологію, яку необхід- но розуміти. Для цього на полях розміщені визначення всіх важливих  понять і  термінів. Розглядаючи ілюстрації, звертайте увагу на підписи,  які пояснюють зміст зображеного. Схеми розкриють зв’язки між скла- довими історичних явищ, пояснять їхні особливості тощо. Наприкінці кожного параграфа наведено  висновки,  які допоможуть  вам визначити розглянуті в ньому провідні ідеї. Після них пропонуються  запитання та завдання,  спрямовані на формування різних умінь і  нави- чок. Звертайте увагу на умовні позначення, розташовані поряд. Вони  підкажуть вам, що і  як необхідно виконувати. У кінці підручника ви знайдете словник основних термінів, а  на  форзацах  — хронологічну таблицю й  плани-схеми для самостійної  роботи з  підручником та додатковою літературою. Підручник містить  електронний додаток.  У ньому зібрано матеріал,  який більш повно розкриває деякі питання навчального курсу. Також  тут наведено фрагменти історичних документів із запитаннями до них та  відомості про видатних українських діячів і діячок цього періоду. Крім  того, в  електронному додатку ви знайдете рекомендації до практичних  робіт і необхідні матеріали для їх проведення. Підсумувати матеріал  розділу можна за допомогою  запитань і  завдань на узагальнення.   Тестові  завдання , що виконуються в  режимі онлайн, дозволять вам здійснити  самоперевірку рівня набутих знань і  підготуватися до тематичного оці- нювання. Усі ці матеріали розміщені за електронною адресою  interactive. ranok.com.ua.","(42.519161224365234, 170.4775848388672, 396.3849182128906, 553.2505493164062)",2,0
11,4,"(36.85063552856445, 558.8359375, 43.00663757324219, 573.2599487304688)",3,0
12,﻿,"(73.7010498046875, 25.97797203063965, 75.71504974365234, 37.39697265625)",3,0
13,"Система символів, що супроводжують окремі рубрики, полегшить  вашу роботу з  підручником.   Пригадайте   — запитання, подані в  цій рубриці, допоможуть вам  пригадати раніше вивчений матеріал і  краще зрозуміти новий.","(73.695556640625, 60.1197624206543, 427.491455078125, 109.71756744384766)",3,0
14,"Цікаві факти  — тут ви знайдете чимало цікавих історичних фактів,  пов’язаних зі змістом параграфа.","(102.04400634765625, 112.833984375, 427.6366271972656, 136.5597686767578)",3,0
15,  	  Словник   — саме тут пояснюються наведені в  тексті нові поняття  й  терміни.,"(73.70098876953125, 139.6761474609375, 427.4836120605469, 163.3921661376953)",3,0
16,!,"(80.9886474609375, 169.9039764404297, 85.0086441040039, 188.48898315429688)",3,0
17,"Висновки  — у цій рубриці подано стислий виклад провідних думок,  розкритих у  тексті параграфа.","(100.56632995605469, 166.508544921875, 427.41827392578125, 190.22459411621094)",3,0
18,"	 Запитання та завдання  — ця рубрика містить запитання й завдання  до параграфів, розподілені на чотири групи:","(73.70101928710938, 193.17437744140625, 427.5512390136719, 217.0569610595703)",3,0
19,  ,"(82.197998046875, 227.72898864746094, 98.41799926757812, 251.38897705078125)",3,0
20,"Перевірте, як ви запам’ятали   — за допомогою цих запитань  ви зможете здійснити самоперевірку й  дізнатися, чи добре ви  запам’ятали основні факти з  розглянутого матеріалу.  ","(79.37260437011719, 220.9083709716797, 427.5757141113281, 282.208984375)",3,0
21,Подумайте і дайте відповідь  — запитання цієї рубрики дозволять  вам осмислити прочитане.  ,"(79.37260437011719, 259.74578857421875, 427.4374084472656, 309.0489807128906)",3,0
22,"Виконайте завдання   — виконання цих практичних завдань роз- виватиме ваші навчальні вміння (працювати з історичною картою,  складати плани, таблиці тощо).  ","(79.37260437011719, 286.57818603515625, 427.5046081542969, 347.8889465332031)",3,0
23,"Творче завдання   — тут ви знайдете багато цікавих завдань, що  виконуються за допомогою ресурсів Інтернету та додаткової літера- тури за вказівкою вчителя/вчительки або з  метою поглибити свої  знання.","(102.04519653320312, 325.41558837890625, 427.4903869628906, 372.3967590332031)",3,0
24,"	 Ця позначка на полях означає, що матеріал до цього пункту па- раграфа розміщено на сайті в  електронній частині підручника.","(73.69595336914062, 379.29595947265625, 425.19525146484375, 402.0711669921875)",3,0
25,"Із повагою, автори","(333.6290283203125, 414.634765625, 425.2002868652344, 425.40496826171875)",3,0
26,?,"(79.66114807128906, 199.31895446777344, 86.33615112304688, 217.90396118164062)",3,0
27,і,"(79.29763793945312, 378.2689514160156, 83.37763977050781, 391.81695556640625)",3,0
28,5,"(424.71600341796875, 558.8359375, 430.87200927734375, 573.2599487304688)",4,0
29,§ 1. Вступ,"(354.197998046875, 25.97797203063965, 394.01727294921875, 37.39697265625)",4,0
30,§ 1. Вступ,"(42.519718170166016, 59.32096481323242, 96.21131896972656, 74.18896484375)",4,0
31,"  1.   Який період історії України ви вивчали минулого року? Назвіть його хроно- логічні межі.   2.   Які події Нової історії України кінця XVIII  — початку XX  ст. ви  вважаєте найважливішими? Поясніть свою точку зору.   3.  Яким був регіональний  поділ та адміністративно-територіальний устрій українських земель у складі Росій- ської та Австро-Угорської імперій на початку XX  ст.?   4.   Яку політику здійснюва- ли імперські уряди щодо українського населення на початку XX  ст.?   5.   Назвіть  основ­ні тенденції соціально-економічного, політичного і  культурного розвитку  світу та  України на межі XIX—XX  ст.","(48.18898010253906, 76.53900146484375, 396.002685546875, 167.0641632080078)",4,0
32,"1   Новітня доба в  історії України.  Історія України, як ви вже знаєте,  поділяється на  історичні періоди  — етапи її політичного, соціально- економічного і культурного розвитку. Вони, у  свою чергу, характеризу- ються визначними подіями та явищами, історичними процесами, діяль- ністю видатних людей тощо. Ви вже ознайомилися з  подіями Давньої,  Середньовічної та  Нової історії України. Цього навчального року ви  розпочнете вивчення  Новітньої історії України . «Коротке XX століття»   — так на- зивають цей період, оскільки його по- дії розпочинаються 1914  р. «Коротке  XX століття» було дуже складним для  України та нашого народу. Викликана  Першою світовою війною криза при- звела до величезних втрат, спричинила революцію та  повалення само- державства в  Російській імперії, а  також розпад Австро-Угорської ім- перії. Українська революція, яка розпочалася в  1917  р., сприяла відро- дженню української державності. Хоча вона й  завершилася поразкою,  її уроки мали важливе значення для подальшої визвольної боротьби  українського народу. Після ­поразки Української революції Україна  була розчленована між сусідами (радянська Росія, Румунія, Поль- ща, Чехословаччина). На більшій частині її території був нав’язаний ","(42.519554138183594, 178.68014526367188, 396.50830078125, 430.3931579589844)",4,0
33,"Новітня історія України   — період вітчиз- няної історії після Нової історії, що охоплює  події, які відбувалися в 1914 р. — на початку  XXI  ст.","(252.28587341308594, 276.1665954589844, 432.7286376953125, 320.0697937011719)",4,0
34,Періоди історії України,"(42.51737594604492, 443.02337646484375, 137.60931396484375, 453.7769775390625)",4,0
35,Давня історія Середньо- вічна історія Нова історія Новітня історія,"(52.1422004699707, 459.97216796875, 368.21844482421875, 483.6001892089844)",4,0
36,I період II період I період II період,"(190.47601318359375, 475.0729675292969, 380.84649658203125, 485.65057373046875)",4,0
37,Близько  1  млн ро- ків тому  —  V  ст.  н. е.,"(51.27443313598633, 490.17376708984375, 97.33010864257812, 533.7570190429688)",4,0
38,V  — кінець  XV  ст. XVI— XVIII  ст. Кінець  XVIII  —  початок  XX  ст.,"(122.14400482177734, 490.17376708984375, 270.9344177246094, 533.7528686523438)",4,0
39,1914— 1945  рр. 1945  р.  —  початок  XXI  ст.,"(292.22161865234375, 490.17376708984375, 385.51220703125, 522.7514038085938)",4,0
40,? ? Який період історії України ви вивчатимете цього року?,"(42.51959991455078, 539.6312866210938, 279.4685363769531, 554.1992797851562)",4,0
41,6,"(36.85063552856445, 558.8359375, 43.00663757324219, 573.2599487304688)",5,0
42,﻿,"(73.7010498046875, 25.97797203063965, 75.71504974365234, 37.39697265625)",5,0
43,"­більшовицький  тоталітарний політичний  режим . Період існування комуністич- ного тоталітарного режиму став важ- ким випробуванням для українського  народу. Про події, пов’язані з утвер- дженням та існуванням комуністично- го то­талітарного режиму на території  України, ви дізнаєтеся за сторінками  під­ручника.","(235.27452087402344, 59.16916275024414, 427.48358154296875, 178.8761749267578)",5,0
44,"2   Територія і  населення України напередодні Першої світової війни.  На- передодні Першої світової війни український народ залишався під  владою Російської та Австро-Угорської імперій. Територія етнічних укра- їнських земель дорівнювала 690  тис. км 2 . Із них близько 80  % станови- ла Наддніпрянська Україна, що входила до складу Російської імперії. На  її території було створено дев’ять  губерній . Водночас значна частина укра- їнства проживала за їх межами. Вони заселяли також великі райони Чор- номорської губернії, Кубанської області, області Війська Донського, Кур- ської, Воронезької, Мінської, Холмської та Гродненської губерній. Під владою Австро-Угорщини перебували західноукраїнські землі  (Східна Галичина, Північна Україна, Закарпаття), що становило близько  20  % етнічних українських земель. Адміністративний і  конституцій- ний устрій Австрії та Угорщини, об’єднаних особою монарха, суттєво  відрізнявся. Кожна країна у  складі імперії мала окремий парламент:  Австрія  — у  Відні, Угорщина  — у  Будапешті. Землі Австрії були поді- лені на 17 адміністративних одиниць, що мали автономію у внутрішніх  справах та окремі місцеві законодавчі органи, а Угорщина, незважаючи  на неоднорідність етнічного складу, існувала як єдина централізована  держава. Галичина й Буковина мали статус  коронних країв  Австрії, а За- карпаття входило до складу Королівства ­Угорщини. Загальна кількість населення Наддніпрянської України на 1913 р.  дорівнювала 32,2 млн осіб. Із них українське населення становило 72 %,  російське та білоруське  — 13,1  %, єв- рейське  — 8  %. Населення західноукраїнських  земель у  складі Австро-Угорщини, за  переписом 1910  р., становило 6,2  млн  осіб. Із них українці складали 68  %,  поляки  — 13,6  %, євреї  — 13,5  %.  У Наддніпрянщині російська імперська ","(73.7005615234375, 192.16494750976562, 427.6796875, 551.8882446289062)",5,0
45,"Політичний режим   — сукупність методів,  за допомогою яких здійснюється державна  влада в  суспільстві. Тоталітарний режим   — політичний лад, за  якого державна влада зосереджується в  руках  певної групи (найчастіше політичної партії),  що знищує демократичні свободи, цілком під- порядковує всі сфери життя своїм інтере­сам  та утримує контроль над суспільством методами  терору, політичного й  духовного пригнічення.","(36.85057067871094, 65.92576599121094, 217.370361328125, 175.8289337158203)",5,0
46,Губернія   — основна територіально-адміні- стративна одиниця в  Росії у  XVIII  — на по- чатку XX  ст.; поділялася на повіти. Коронний край   — адміністративно-терито- ріальна одиниця Австрійської (від 1867  р.  —  Австро-Угорської) імперії у XVIII — на початку  XX  ст.,"(36.85060119628906, 469.54656982421875, 217.3017120361328, 546.4521484375)",5,0
47,7,"(424.71600341796875, 558.8359375, 430.87200927734375, 573.2599487304688)",6,0
48,§ 1. Вступ,"(354.197998046875, 25.97797203063965, 394.01727294921875, 37.39697265625)",6,0
49,"влада продовжувала здійснювати політику  русифікації , що охоплювала  всі сфери економічного, політичного та культурного життя краю. Над- звичайно високий рівень русифікації населення спостерігався у великих  містах і  промислових центрах. За переписом 1897  р., у  Києві 54,4  %  жителів становило російське населення і  лише 22,1  %  — українське,  в  Одесі українці у  складі населення міста не перевищували 16  %.  Така сама тенденція простежувалася щодо частки українського населен- ня у  промислових центрах Слобідської  (у Харкові українці становили 25 % на- селення) та  Південної України. У Львові, за переписом 1920  р.,  частка польського населення серед на- селення дорівнювала 53,8  %, єврей- ського — 25 %, українського — 20 %.  Проте, незважаючи на це, Львів, за ","(42.5196533203125, 373.5335693359375, 396.3244934082031, 553.25048828125)",6,0
50,Адміністративно-територіальний устрій та регіональний поділ українських земель  у  складі Російської імперії напередодні Першої світової війни,"(42.5196647644043, 60.4081916809082, 383.3251647949219, 82.16178894042969)",6,0
51,Наддніпрянська Україна,"(171.5736083984375, 91.35774993896484, 265.4608459472656, 101.93534851074219)",6,0
52,Регіони,"(204.1511993408203, 119.70256805419922, 232.89199829101562, 130.28016662597656)",6,0
53,Правобережжя Лівобережжя Слобожанщина Південь,"(48.69691467285156, 148.04736328125, 365.48162841796875, 158.6249542236328)",6,0
54,"Київська,  ­Волинська,  ­Подільська","(56.77522277832031, 177.8001708984375, 101.32083129882812, 210.3777618408203)",6,0
55,"Чернігівська,  Полтавська Харківська Катеринослав- ська, Херсонська,  Таврійська","(141.08160400390625, 177.8001708984375, 386.4653625488281, 210.3777618408203)",6,0
56,Адміністративно-територіальний устрій та регіональний поділ українських ­земель  у  складі Австро-Угорської імперії напередодні Першої світової війни,"(42.5156135559082, 228.1273651123047, 383.3103942871094, 249.88096618652344)",6,0
57,Західноукраїнські землі,"(162.97601318359375, 259.0769958496094, 254.22323608398438, 269.65460205078125)",6,0
58,Австрія Угорщина,"(136.03919982910156, 287.4217834472656, 343.7896423339844, 297.9993896484375)",6,0
59,  Коронні краї,"(125.50559997558594, 317.1833801269531, 327.68560791015625, 331.7297668457031)",6,0
60,Галичина Буковина Закарпаття,"(74.82904052734375, 346.9449768066406, 346.2008361816406, 357.5225830078125)",6,0
61,"Русифікація   — тут: сукупність дій та за- ходів царського уряду в  Російській імперії,  спрямованих на звуження й  витіснення на  другорядні ролі національних мов, культури,  історії з  одночасним висуненням на провід- ні позиції російської мови, культури, історії.  Знайшла своє продовження і  в період СРСР.","(252.28465270996094, 468.411376953125, 432.76141357421875, 545.3182983398438)",6,0
62,8,"(36.85063552856445, 558.8359375, 43.00663757324219, 573.2599487304688)",7,0
63,﻿,"(73.7010498046875, 25.97797203063965, 75.71504974365234, 37.39697265625)",7,0
64,"образним висловом І.  Франка, продо- вжував залишатися «серцем руського  народу». Близько 85  % населення того- часної України проживало в  сільській  місцевості. Між містом і селом ­існували глибокі мовні відмінності. Село  зберігало українські мовно-культурні традиції. На західноукраїнських  землях місцеве українство зазнавало  денаціоналізації  від політики оні- мечування, що поєднувалася з  полонізацією в  Галичині, румунізацією  в Буковині та мадяризацією в Закарпатті. Територія Галичини включала  Східну Галичину, заселену переважно українським населенням, і Захід- ну Галичину, де більшість становило польське населення. У  Буковині  північна частина краю (Чернівецький округ) була переважно україн- ською, а  південна (Сучавський округ)  — румунською. У  складі Австро- Угорщини, що була конституційною монархією, західні українці мали  певні можливості для участі в  суспільно-політичному житті ­країни. ","(73.70094299316406, 60.1197624206543, 427.58966064453125, 250.88658142089844)",7,0
65,!,"(80.9886474609375, 271.5740051269531, 85.0086441040039, 290.15899658203125)",7,0
66,"Висновки.  Цього року ви розпочнете вивчення Новітньої історії  України й  ознайомитеся з  подіями, що відбувалися на її землях  у  1914—1945  рр.    У 1920—1930-ті рр.  на більшій частині території України було  встановлено тоталітарний політичний режим.","(73.7010498046875, 268.0071716308594, 427.6578674316406, 327.89495849609375)",7,0
67,"   Напередодні Першої світової війни українські землі, як і  раніше,  перебували у  складі Російської та Австро-Угорської імперій, де відпо- відно зазнавали русифікації та денаціоналізаціі. Адміністративно-те- риторіальний поділ, запроваджений ними, не враховував особ­ливостей  розселення українського населення.","(73.70065307617188, 327.19696044921875, 427.4836120605469, 387.89056396484375)",7,0
68,?,"(79.66114807128906, 403.573974609375, 86.33615112304688, 422.1589660644531)",7,0
69,	 Запитання та завдання,"(92.29420471191406, 400.01318359375, 210.41357421875, 412.1553955078125)",7,0
70, ,"(82.19760131835938, 420.4959411621094, 97.99799346923828, 444.53594970703125)",7,0
71,"1.  Якими є хронологічні межі періоду Новітньої історії України?   2.  Що таке тота- літарний режим?   3.   Якою була загальна територія етнічних українських земель  напередодні Першої світової війни?   4.   Скільки губерній було створено росій- ською владою на території Наддніпрянщини?   5.   Яка частка українських земель  перебувала в  цей час під владою Австро-Угорщини?   6.   Що таке русифікація?   7.   Що ви знаєте про особливості періоду історії України, який будете вивчати  цього року?   8.   Охарактеризуйте територію та населення України напередодні  Першої світової війни.   9.  Покажіть на карті атласу основні регіони українських земель та їхню адміністра- тивно-територіальну належність напередодні Першої світової війни.   10.  Визначте,  у  складі якого регіону та адміністративно-територіального утворення перебував  населений пункт, де ви живете.","(79.37260437011719, 414.83697509765625, 427.1729736328125, 552.405029296875)",7,0
72,і,"(51.10976028442383, 237.95298767089844, 55.18975830078125, 251.50099182128906)",7,0
73,"Денаціоналізація   — втрата національних  особливостей культури, звичаїв, побуту, мови  тощо.","(36.85056686401367, 65.92576599121094, 217.36029052734375, 98.82896423339844)",7,0
74,9,"(424.71600341796875, 557.4186401367188, 430.87200927734375, 571.8426513671875)",8,0
75,Розділ I.   Україна в  роки Першої світової війни,"(42.63959884643555, 25.312969207763672, 341.7120056152344, 40.18096923828125)",8,0
76,§ 2. Перша світова війна та український національний рух,"(42.4959602355957, 60.80900192260742, 379.16290283203125, 75.677001953125)",8,0
77,  1.  Які держави належали до Антанти та Центральних держав? Якою була мета цих  угруповань?   2.  Які політичні партії діяли в Наддніпрянській та Західній Україні на  початку XX  ст.?   3.   Порівняйте програми цих партій на майбутнє України.,"(48.18898010253906, 83.69293212890625, 395.9045104980469, 119.21855163574219)",8,0
78,"1   Україна в геополітичних планах країн Антанти та Центральних держав.   28  червня 1914  р. в  Сараєві сербський націоналіст Гаврило Прин- цип убив наступника австро-угорського престолу ерцгерцога Франца  Фердінанда. 28 липня 1914 р. Австро-Угорщина оголосила війну Сербії.  Це запустило ланцюгову реакцію, яка призвела до розгортання Першої   світової   війни. Її спричинило протистояння держав  — учасниць двох  угруповань:  Цент­ральних держав  (Австро-Угорщина, Німеччина, Італія)  та  Антанти  (Велика Британія, Франція, Росія). Кожна з  країн прагнула  досягти своїх  геополітичних  інтересів. Україна в  них також посідала по- мітне місце через своє вигідне географічне положення та ресурси. Німеччина сподівалася розчле- нувати Росію й  оволодіти Польщею,  Литвою, країнами Балтії, Білорусією  та Україною. Особлива роль у цих пла- нах відводилася українським землям,  оскільки саме вони мали стати відправ- ним пунктом для подальшого завою- вання Німеччиною світового простору.  Територію України командування ні- мецької армії вважало одним із голов­ них театрів воєнних дій. Прагнучи ослабити Росію в  геополітичному  плані, німецькі політики прихильно ставилися до можливої незалежно­ сті України. Останню вони вважали плацдармом для здійснення Росією  зовнішньополітичної експансії на Балкани та до Передньої Азії. Уна- слідок цього втрата України, на їхню думку, призведе до краху велико- державницької політики російської влади. Україна також приваблювала  Німеччину своїм економічним потен­ціалом. Австро-Угорщина здавна змагалася з  Росією за гегемонію (пер- шість) у слов’янському світі. Австрійські Габсбурги, які проводили більш  ліберальну національно-культурну політику стосовно слов’ян, сподівали- ся розширити свої володіння за рахунок Балканських держав, а  також  Холмщини, Підляшшя, Волині й Поділля, які перебували у складі Росії.  Австро-Угорщина заявляла, що землі, заселені українським народом,  мають бути об’єднані в  окрему українську автономну область у  скла- ді імперії. Крім цього, розглядалися варіанти віддати українські землі ","(42.51824188232422, 133.32574462890625, 396.3402099609375, 553.211181640625)",8,0
79,"Світова війна   — глобальне протистояння  союзів держав із застосуванням зброї, що  охоплює велику частину світу. Геополітика   — політологічна концепція, за  якою зовнішня політика держав визначається  географічними чинниками (розташуванням  країни, природними ресурсами, кліматом  тощо).","(252.27699279785156, 268.98577880859375, 432.8394470214844, 356.88897705078125)",8,0
80,10,"(36.85063552856445, 558.8359375, 49.162635803222656, 573.2599487304688)",9,0
81,Розділ I,"(73.79594421386719, 25.97797203063965, 110.79000091552734, 37.39697265625)",9,0
82,"Німеччині, створити з  них  санітарний кордон  проти впливів Росії або  передати їх відновленій Польській ­державі. Росія, приховуючи свої експансіоністські наміри, заявляла про праг- нення захистити Сербію від агресії Австро-Угорщини. Одночасно із  цим  проголошувалася необхідність звільнення з-під влади Габсбургів «єди- нокровних братів-русинів» західноукраїнських земель й  «возз’єднання  уярмленої Русі» з  Росією на засадах етнографічної спільності. Прагнучи  оволодіти Галичиною, Буковиною й  Закарпаттям, російська влада мала  намір відсунути кордони імперії за Карпатські перевали. Румунія висувала претензії на Буковину й  Хотинщину, які вва- жала своєю історичною спадщиною як колишні володіння Молдавського  князівства. Ці території їй обіцяли одночасно Росія й Австро-Угорщина.  Румунія після дворічних вагань обрала бік Антанти. Польське керівництво сподівалося, що після поразки Росії у вій­ні  воно відновить свою державу й приєднає до неї Східну Галичину, а мож- ливо, і  Правобережну Україну як «історично польські землі».","(73.70094299316406, 230.18896484375, 427.51446533203125, 421.9063720703125)",9,0
83,"2   Становище українства в Російській та Австро-Угорській імперіях на по- чатку війни.   Територія розселення українського народу на початку  війни була поділена Російською та Ав- стро-Угорською імперіями, що належа- ли до ворожих угруповань. Обидві дер- жави вважали українців, у  складі сво- го населення ненадійною групою, яка  може стати на бік противника, і  здійснювали щодо них ­ репресії .","(73.70094299316406, 427.8549499511719, 427.5433654785156, 523.8318481445312)",9,0
84,"3   Ставлення до ­війни політичних сил, що діяли в Наддніпрянській ­Україні.   На початку Першої світової війни російська влада в  Наддніпрян-","(79.9530029296875, 529.3589477539062, 427.1487731933594, 553.246337890625)",9,0
85,і,"(51.10976028442383, 408.9649658203125, 55.18975830078125, 422.5129699707031)",9,0
86,"Репресії   — заходи державного примусу, по- карання, у  тому числі за ідейні переконання,  нерідко позасудовим шляхом.","(36.85063171386719, 462.1457824707031, 217.30520629882812, 495.0489807128906)",9,0
87,і,"(51.10976028442383, 510.6388244628906, 55.18975830078125, 524.1868286132812)",9,0
88,"Німецька карта світу в 1914 р. Російський плакат 1914 р.  ? ? Визначте за наведеними карикатурами, яку роль відігравала пропаганда в  роки   Першої світової війни.","(36.85051727294922, 185.30657958984375, 375.4822082519531, 221.41294860839844)",9,0
89,11,"(418.55999755859375, 558.8359375, 430.87200927734375, 573.2599487304688)",10,0
90,§ 2. Перша світова війна та український національний рух,"(145.83450317382812, 25.97797203063965, 394.0315856933594, 37.39697265625)",10,0
91,"ській Україні, як і  в інших регіонах імперії, розгорнула широку про- пагандистську кампанію. Війну оголосили «оборонною», оскільки вона  велася для захисту «вітчизни» від «прусських варварів», а  також для  захисту братів-слов’ян. Ця пропаганда мала позитивні результати. На  початку війни значна частина міського населення й  селянства Наддні- прянщини підтримували урядову політику, не усвідомлюючи, що на  їхні плечі ляже весь тягар війни. Загальноросійські партії чорносотенців, октябристів, кадетів і пра- ва частина соціал-демократів та есерів загалом підтримували офіційний  урядовий курс. Ліва частина соціал-демократів (більшовики, очолювані  В.  Леніним) виступали за поразку Росії у  війні, оскільки це мало на- близити революцію й  повалення царизму. Серед громадсько-політичних діячів Наддніпрянщини у  ставленні  до війни сформувалося три основні орієнтації — поміркована, нейтраль- на та радикальна. Так, один із лідерів українських соціал-демократів  С.  Петлюра опублікував у  московському журналі «Украинская жизнь»  статтю, де закликав народи Росії і, зокрема, українців виконати свій  громадянський обов’язок перед державою, що дасть їм можливість  у  майбутньому розраховувати на «відповідні права». 10  серпня 1914  р.  в  Києві галицькі й  буковинські емігранти-москвофіли заснували  «Кар- пато-руський визвольний комітет».  Його члени активно допомагали  встановленню російської влади в  Галичині. Товариство українських по- ступовців посіло нейтральну позицію, а  із 1916  р. взагалі виступило  проти війни та підтримки будь-якої з  воюючих сторін. ","(42.519161224365234, 60.1197624206543, 396.4765319824219, 346.8873596191406)",10,0
92,"4   Заснування та діяльність Союзу визволення України.  14 серпня 1914 р.   у  Львові українські політичні емігранти-наддніпрянці створили  самостійницьку українську політичну організацію  Союз визволення Укра- їни (СВУ) . Його засновниками стали члени УСДРП (Д.  Донцов, В.  До- рошенко, А.  Жук), УСДС (О.  Скоропис-Йолтуховський), українських  есерів (Ю.  Бачинський), інших партій та організацій. Першим головою  СВУ став  Д.  Донцов . СВУ опублікував відозву «До українського народу  в  Росії» та звернення «До громадської думки Європи», а  програму ді- яльності виклав у  «Нашій платформі». У  ній було проголошено, що  реалізацію своїх національних прав українське населення має пов’язувати  з  поразкою Росії у  війні. Союз виступав за відокремлення України від  Росії та створення на її землях конституційної монархії під протекто- ратом Австрії. СВУ вважав себе представником інтересів України перед Австро- Угорщиною, Німеччиною та іншими європейськими державами. Прагну- чи сформувати коаліцію з  противників Росії, представники Союзу вели ","(42.519161224365234, 361.16595458984375, 396.4214172363281, 552.8882446289062)",10,0
